sample,alignment rate,concordantly 1 time,concordantly >1 time
2141,92.82%,85.28%,3.86%
2076,93.60%,84.43%,5.17%
1687,75.96%,67.59%,3.36%
2261,87.67%,77.36%,5.07%
1831,91.40%,82.71%,4.19%
1669,86.50%,77.98%,4.03%
1177,88.51%,80.69%,4.13%
1445,93.28%,84.34%,4.54%
2297,91.55%,82.68%,4.53%
1493,93.60%,85.11%,4.69%
1776,89.06%,80.15%,3.76%
2131,89.40%,81.16%,3.78%
1100,86.58%,78.58%,4.43%
1697,89.82%,78.89%,5.02%
1640,95.31%,86.02%,5.06%
1910,94.31%,85.47%,5.08%
1110,91.24%,81.44%,4.27%
1049,89.20%,80.48%,4.38%
2317,91.90%,82.66%,5.22%
1578,94.97%,86.18%,5.26%
2197,93.99%,86.23%,3.74%
1891,94.06%,85.61%,4.57%
1177,89.61%,81.63%,4.35%
1589,87.75%,77.03%,4.80%
1884,90.78%,81.65%,4.74%
1592,81.94%,73.24%,3.49%
1502,94.69%,85.84%,4.93%
1291,92.74%,84.09%,4.47%
1512,93.60%,83.98%,4.82%
1819,89.34%,80.03%,4.46%
1278,92.51%,83.79%,4.05%
1123,86.10%,78.59%,4.29%
1491,93.87%,84.86%,4.89%
1192,86.16%,76.30%,5.23%
1034,95.50%,86.04%,5.30%
1458,94.15%,85.40%,4.33%
1278,92.40%,83.70%,4.05%
1177,89.69%,81.83%,4.19%
1197,90.71%,82.79%,4.03%
1914,93.17%,84.15%,5.22%
1578,94.96%,86.19%,5.25%
1282,88.20%,78.98%,4.78%
1928,90.40%,80.37%,4.98%
1798,92.14%,82.35%,5.27%
1695,90.04%,78.83%,5.24%
1100,86.48%,78.39%,4.47%
1879,92.82%,84.12%,4.71%
1425,89.19%,81.96%,2.81%
1844,91.36%,82.23%,4.63%
1145,89.84%,82.10%,4.24%
1512,93.67%,84.18%,4.78%
1843,92.57%,83.78%,4.69%
1123,86.76%,79.21%,4.21%
2064,90.15%,81.64%,4.24%
2143,92.90%,83.99%,4.88%
2164,95.31%,87.70%,4.50%
1177,89.19%,81.36%,4.26%
1426,94.62%,86.21%,3.98%
