sample,total reads,paired unique mapped reads,alignment rate,concordantly 1 time,concordantly >1 time
1205,5332557,4334285,90.53%,81.28%,4.70%
1592,5535361,4141362,83.32%,74.82%,3.60%
1096,15871044,13483887,94.83%,84.96%,5.66%
1107,4644252,3819842,90.92%,82.25%,4.64%
1532,4982550,3904228,87.62%,78.36%,4.42%
1537,7499827,6217567,91.39%,82.90%,4.08%
1697,3852673,3087731,90.61%,80.15%,5.04%
1147,5145330,3886895,83.14%,75.54%,4.20%
1291,7691549,6475272,92.81%,84.19%,4.44%
1625,9322245,7651955,93.37%,82.08%,6.67%
1207,7555792,6452151,93.95%,85.39%,4.99%
1991,6629505,5657221,93.61%,85.33%,4.39%
1669,4289932,3345810,86.51%,77.99%,4.11%
1321,7239660,6183459,94.03%,85.41%,5.22%
1113,4060108,3105405,84.26%,76.49%,4.59%
1627,10977838,9086029,92.92%,82.77%,5.12%
2018,5027635,4263240,93.20%,84.80%,4.44%
1060,4384310,3532804,89.82%,80.58%,5.52%
1265,5342415,4463580,92.31%,83.55%,3.92%
1836,4467135,3756843,92.47%,84.10%,4.26%
1041,4292144,3098331,79.87%,72.19%,3.76%
1593,4396973,3502467,87.68%,79.66%,3.77%
1134,16017755,12863510,88.75%,80.31%,3.99%
1884,4355521,3552774,90.69%,81.57%,4.73%
1891,4877285,4175139,94.10%,85.60%,4.61%
1295,8919318,7519556,92.54%,84.31%,4.86%
2030,5143926,4376233,93.63%,85.08%,4.79%
1839,5001579,3971089,88.08%,79.40%,4.40%
2020,5386978,4508208,92.68%,83.69%,4.97%
1242,6081073,5258099,94.75%,86.47%,5.02%
1881,7736514,6586871,93.67%,85.14%,4.54%
1449,2435186,1722709,79.69%,70.74%,2.42%
1523,4600588,3888613,93.29%,84.52%,4.27%
2263,5786767,4784559,91.56%,82.68%,4.60%
1158,2915846,2282242,85.22%,78.27%,3.73%
1879,4810479,4044413,92.83%,84.08%,4.70%
1833,5538563,2773362,89.92%,50.07%,32.45%
1831,5250096,4343825,91.39%,82.74%,4.17%
1980,5185964,4251508,90.48%,81.98%,4.27%
1080,25181366,20924529,93.88%,83.10%,6.31%
2229,8401581,6386006,85.11%,76.01%,4.03%
2071,5887142,4947512,92.60%,84.04%,4.70%
1100,2217397,1743782,86.62%,78.64%,4.41%
1116,16713391,14131339,94.42%,84.55%,5.48%
